,G3
181,12
194,14
173,0
63,9
253,8
225,7
331,14
383,0
227,12
342,15
131,0
320,13
175,9
238,11
368,10
367,0
210,8
75,10
104,18
374,19
16,14
66,12
211,13
7,6
19,10
301,10
350,8
365,10
118,8
321,9
296,0
381,7
373,5
60,11
79,5
281,10
245,18
250,8
218,8
109,16
17,10
165,12
24,8
126,11
346,16
176,11
275,12
246,13
239,0
153,0
261,8
262,12
172,10
119,13
389,0
198,18
139,15
148,0
322,11
36,18
287,12
152,10
349,13
382,10
59,16
111,10
325,11
249,15
6,11
284,11
271,14
150,0
10,9
192,8
103,6
81,11
290,11
366,13
202,10
345,14
163,10
297,8
89,7
203,6
147,11
222,17
92,6
69,16
123,13
96,15
143,13
299,16
97,10
232,9
68,8
23,12
37,15
144,0
122,13
67,6
180,8
208,10
282,12
369,11
280,8
125,12
146,0
229,12
86,6
332,0
219,10
333,0
195,15
274,10
298,14
183,8
220,6
312,11
336,13
278,8
129,18
38,11
11,12
266,10
185,11
233,13
112,13
179,11
265,17
277,9
117,13
363,15
347,9
379,10
283,10
357,11
164,7
247,8
136,0
154,12
199,10
197,10
387,0
2,10
204,11
115,16
228,9
231,11
26,11
120,15
302,14
224,14
237,12
338,17
311,13
340,11
127,9
74,11
318,10
29,11
83,15
326,16
107,18
355,9
310,0
133,11
244,0
184,12
286,19
44,9
362,10
65,15
292,13
85,8
242,0
186,11
70,15
159,12
12,14
35,6
28,11
170,0
142,11
314,13
268,10
221,0
95,10
51,13
240,12
294,14
305,12
178,9
41,12
352,8
206,7
254,12
327,10
4,10
256,13
353,8
100,5
226,15
337,0
213,8
171,16
98,14
215,15
61,11
47,20
32,16
267,11
200,16
351,13
27,15
376,15
230,14
260,18
288,14
162,0
335,15
138,12
62,9
135,0
128,0
8,19
64,10
300,11
14,16
156,13
40,11
361,12
354,11
216,4
279,10
341,0
236,13
207,13
212,14
295,11
380,14
251,10
385,10
360,13
303,18
269,0
201,10
161,7
43,11
217,8
190,13
309,10
259,0
105,11
53,11
1,6
49,7
80,12
205,9
34,15
263,9
91,18
339,10
52,10
264,0
241,12
13,11
315,11
88,10
273,14
166,10
328,9
388,8
134,0
306,18
378,15
319,11
243,12
54,13
50,13
174,9
189,10
392,7
187,15
169,14
58,9
48,14
344,10
235,10
252,8
21,15
313,11
160,0
276,9
191,9
293,18
343,0
257,11
308,12
149,10
130,0
151,14
359,16
99,8
372,11
87,14
330,8
214,10
121,15
394,9
20,15
188,9
71,10
106,8
270,9
348,15
102,14
